Form 133 - Electronic Version,,,,,,,,,,,,
Well Activity Report,,,,,,,,,,,,
,,Beginning Date:,,,06/08/2014,Ending Date:,,06/14/2014,,,,
,,,REPORT IS NOT TO EXCEED 7 DAYS(1 WEEK) IN DURATION,,,,,,,,,
GENERAL INFORMATION,,,,,,,,,,,,
1. API WELL NO.(10 Digits),,,,,,,2. OPERATOR NAME,,,,,
60-824-40014,,,,,,,Eni US Operating Co. Inc.,,,,,
3. WELL NAME,,4. SIDETRACK NO.,,,5. BYPASS NO.,,,6. CONTACT NAME,,,,
001,,00,,,00,,,Sedlar Donna,,,,
"7. RIG NAME OR PRIMARY UNIT(e.g. Wireless Unit, Coil Tubing Unit, etc.)",,,,,,,,,8. WATER DEPTH,,9. ELEVATION AT KB,
T.O. DEEPWATER PATHFINDER,,,,,,,,, ,, ,
10. CURRENT WELLBORE INFORMATION,,,,,,,,,,,,
SURFACE,,,,,,BOTTOM,,,,,,
LEASE NO.,,AREA NAME,,BLOCK NO.,,LEASE NO.,,AREA NAME,,,BLOCK NO.,
G31847 ,,LL ,,411 ,,G31847 ,,LL ,,,411 ,
WELLBORE,START DATE,TD DATE,,OP STATUS,END DATE,MD,,TVD,MW PPG,LAST BOP TEST DATE,LAST BOP TEST PRESSURE,
,,,,,,,,,,,LOW,HIGH
00,05/21/2014, ,,DRL, ,15640,,15640,9.5,06/10/2014,250,7500
11. WELLBORE HISTORICAL INFORMATION,,,,,,,,,,,,
WELLBORE,BOTTOM LEASE,,START DATE,,TD DATE,PLUGBACK DATE,,,,FINAL MD,FINAL TVD,
There is no wellbore historical information available.,,,,,,,,,,,,
12. CASING/LINER/TUBING RECORD,,,,,,,,,,,,
TUBULAR TYPE,HOLE SIZE (IN),SIZE (IN),WEIGHT (#/FEET),GRADE,TEST PRESSURE (psi),,SHOE TEST (EMW),,SETTING DEPTH (MD),,CEMENT QUANTITY      (Cubic Feet),
,,,,,,,,,LOW,HIGH,,
C,30,26,202,X-52,0,,0,,0,11186,4424,
C,24,20,169,N-80/L-80,0,,10.3,,0,13327,7162,
"13. OPEN HOLE TOOLS, MUDLOGS, AND DIRECTIONAL SURVEYS",,,,,,,,,,,,
SERVICE COMPANY,,,DATE OPERATIONS COMPLETED,,TOOL LOGGING METHOD,,LOG TOOL CODES,,,INTERVAL DEPTH(MD),,
,,,,,,,,,,TOP,BOTTOM,
SCHLUMBERGER,,,06/14/2014,,MWD/LWD,,"ARC, SON-VIS, GR, APWD",,,13327,15640,
14. IDENTIFY OTHER OPEN HOLE DATA COLLECTED,,,,,,,,,,,,
,,YES,NO,,,YES,NO,,,,YES,NO
VELOCITY SURVEYS,, ,X,PALEO SAMPLES,, ,X,SIDEWALL SAMPLES,,, ,X
CONVENTIONAL CORES,, ,X,LITHO SAMPLES,, , ,GEOCHEM SAMPLES,,, ,X
15. WELL ACTIVITY SUMMARY,,,,,,,,,,,,
